Rating_ID,Response_ID,Idea_Index,Model,Condition
64598c86dbf2a3d1c29b,20260923T102212_92fcf899:0,0,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
fe904630e40dac95d717,20260923T102212_92fcf899:0,1,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
5085a56dbb4dc9197b3e,20260923T102212_92fcf899:0,2,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
18478b3328b2e87185b7,20260923T102212_92fcf899:0,3,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
26f40bf523219974bfc1,20260923T102212_92fcf899:0,4,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
0d412f85bfb74fdf41ea,20260923T102212_92fcf899:0,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
f9216cacf27980b8a9a9,20260923T102212_92fcf899:0,6,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
21b5a4103638b68a1131,20260923T102212_92fcf899:0,7,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
828f536462a27d482362,20260923T102212_92fcf899:0,8,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
3af84f95fd98e045c4e0,20260923T102212_92fcf899:0,9,meta-llama/Llama-3.3-70B-Instruct-Turbo,Standard
c441bf23c594273291c3,20260923T102212_92fcf899:1,0,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
926657e0a83289360297,20260923T102212_92fcf899:1,1,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
90626b54fd6977a9e0c1,20260923T102212_92fcf899:1,2,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
4bc3ca90d9d1e9729cdd,20260923T102212_92fcf899:1,3,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
1ab0330ba49f3acd6a0d,20260923T102212_92fcf899:1,4,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
42032bbf16b174bc3d30,20260923T102212_92fcf899:1,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
66dc4f706ad3d1e070e5,20260923T102212_92fcf899:1,6,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
49d2380b12c744cba449,20260923T102212_92fcf899:1,7,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
cc6f6f381d4da7141160,20260923T102212_92fcf899:1,8,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
c4224e34b5a796d8252f,20260923T102212_92fcf899:1,9,meta-llama/Llama-3.3-70B-Instruct-Turbo,Conventional
dc6c225a149e5542b9f1,20260923T102212_92fcf899:2,0,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
5928099db5fa72006c93,20260923T102212_92fcf899:2,1,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
cb44fd98be248acb4ebd,20260923T102212_92fcf899:2,2,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
438c05c5d75812aea76a,20260923T102212_92fcf899:2,3,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
461ce2a9178960a3d175,20260923T102212_92fcf899:2,4,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
5090a0f9194b68df4151,20260923T102212_92fcf899:2,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
9de239427b3152549d9c,20260923T102212_92fcf899:2,6,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
4cd6be4d30a2ba55ec90,20260923T102212_92fcf899:2,7,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
f87447a57935ed160253,20260923T102212_92fcf899:2,8,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
51f0e5a1e235244c24f2,20260923T102212_92fcf899:2,9,meta-llama/Llama-3.3-70B-Instruct-Turbo,Effective
9b628ec8fd2acdbce4b8,20260923T102212_92fcf899:3,0,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
ac505d0c1b23f914188c,20260923T102212_92fcf899:3,1,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
c7fa7e8e568f6a5aa3c5,20260923T102212_92fcf899:3,2,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
a3b0fd18dd8fdeec6842,20260923T102212_92fcf899:3,3,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
07b2d7b1818bb91874a4,20260923T102212_92fcf899:3,4,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
38cbaab5ed210c28e709,20260923T102212_92fcf899:3,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
9aaf6ac373aec69d5da9,20260923T102212_92fcf899:3,6,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
71ab059cd39d18c9e106,20260923T102212_92fcf899:3,7,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
3fe2bdbe3d8e83bc4166,20260923T102212_92fcf899:3,8,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
2103ae0ded95bfcaf34b,20260923T102212_92fcf899:3,9,meta-llama/Llama-3.3-70B-Instruct-Turbo,Boring
f8eea5c58c2278b9dd9e,20260923T102212_92fcf899:4,0,meta-llama/Llama-3.3-70B-Instruct-Turbo,Creative
081cb661ab8222a78c2e,20260923T102212_92fcf899:4,1,meta-llama/Llama-3.3-70B-Instruct-Turbo,Creative
45f1072d188f1da340e7,20260923T102212_92fcf899:4,2,meta-llama/Llama-3.3-70B-Instruct-Turbo,Creative
